replicate,method,category,common_genes,category_genes,called,call_fraction
95,DESeq2,dp,3974,116,111,0.9568965517241379
95,DESeq2,dm,3974,100,97,0.97
95,DESeq2,db,3974,106,79,0.7452830188679245
95,DESeq2,ee,3974,3180,31,0.009748427672955974
95,DESeq2,ep,3974,380,1,0.002631578947368421
96,DUET,de,3969,97,71,0.7319587628865979
96,DUET,dp,3969,97,47,0.4845360824742268
96,DUET,dm,3969,97,57,0.5876288659793815
96,DUET,db,3969,98,30,0.30612244897959184
96,DUET,ee,3969,3164,0,0.0
96,DUET,ep,3969,416,0,0.0
96,MAST,de,3969,97,71,0.7319587628865979
96,MAST,dp,3969,97,46,0.4742268041237113
96,MAST,dm,3969,97,57,0.5876288659793815
96,MAST,db,3969,98,29,0.29591836734693877
96,MAST,ee,3969,3164,0,0.0
96,MAST,ep,3969,416,0,0.0
96,wilcoxon,de,3969,97,72,0.7422680412371134
96,wilcoxon,dp,3969,97,50,0.5154639175257731
96,wilcoxon,dm,3969,97,57,0.5876288659793815
96,wilcoxon,db,3969,98,31,0.3163265306122449
96,wilcoxon,ee,3969,3164,1,0.0003160556257901391
96,wilcoxon,ep,3969,416,0,0.0
96,diffxpy,de,3969,97,92,0.9484536082474226
96,diffxpy,dp,3969,97,82,0.845360824742268
96,diffxpy,dm,3969,97,90,0.9278350515463918
96,diffxpy,db,3969,98,75,0.7653061224489796
96,diffxpy,ee,3969,3164,4,0.0012642225031605564
96,diffxpy,ep,3969,416,3,0.007211538461538462
96,DESeq2,de,3969,97,96,0.9896907216494846
96,DESeq2,dp,3969,97,87,0.8969072164948454
96,DESeq2,dm,3969,97,94,0.9690721649484536
96,DESeq2,db,3969,98,74,0.7551020408163265
96,DESeq2,ee,3969,3164,24,0.007585335018963337
96,DESeq2,ep,3969,416,2,0.004807692307692308
97,DUET,de,3995,117,109,0.9316239316239316
97,DUET,dp,3995,98,69,0.7040816326530612
97,DUET,dm,3995,103,77,0.7475728155339806
97,DUET,db,3995,78,26,0.3333333333333333
97,DUET,ee,3995,3180,0,0.0
97,DUET,ep,3995,419,0,0.0
97,MAST,de,3995,117,109,0.9316239316239316
97,MAST,dp,3995,98,69,0.7040816326530612
97,MAST,dm,3995,103,77,0.7475728155339806
97,MAST,db,3995,78,26,0.3333333333333333
97,MAST,ee,3995,3180,0,0.0
97,MAST,ep,3995,419,0,0.0
97,wilcoxon,de,3995,117,108,0.9230769230769231
97,wilcoxon,dp,3995,98,79,0.8061224489795918
97,wilcoxon,dm,3995,103,86,0.8349514563106796
97,wilcoxon,db,3995,78,37,0.47435897435897434
97,wilcoxon,ee,3995,3180,0,0.0
97,wilcoxon,ep,3995,419,0,0.0
97,diffxpy,de,3995,117,114,0.9743589743589743
97,diffxpy,dp,3995,98,96,0.9795918367346939
97,diffxpy,dm,3995,103,101,0.9805825242718447
97,diffxpy,db,3995,78,53,0.6794871794871795
97,diffxpy,ee,3995,3180,8,0.0025157232704402514
97,diffxpy,ep,3995,419,0,0.0
97,DESeq2,de,3995,117,116,0.9914529914529915
97,DESeq2,dp,3995,98,94,0.9591836734693877
97,DESeq2,dm,3995,103,99,0.9611650485436893
97,DESeq2,db,3995,78,38,0.48717948717948717
97,DESeq2,ee,3995,3180,5,0.0015723270440251573
97,DESeq2,ep,3995,419,1,0.002386634844868735
98,DUET,de,3978,89,67,0.7528089887640449
98,DUET,dp,3978,101,54,0.5346534653465347
98,DUET,dm,3978,105,66,0.6285714285714286
98,DUET,db,3978,103,28,0.27184466019417475
98,DUET,ee,3978,3217,0,0.0
98,DUET,ep,3978,363,0,0.0
98,MAST,de,3978,89,67,0.7528089887640449
98,MAST,dp,3978,101,54,0.5346534653465347
98,MAST,dm,3978,105,66,0.6285714285714286
