input,cells,genes,log2fc_r,sign_pct,nlp_spearman,sig_jaccard
ductal_1000,1000,9101,1,99.88,0.9994,0.9993
ductal_2500,2500,9082,1,99.92,0.9999,1
ductal_5000,5000,9068,1,99.98,1,1
ductal_all,8020,9058,1,100,1,1
pooled_10000,10000,8537,1,100,1,1
pooled_15000,15000,8523,1,100,1,1
pooled_2500,2500,8646,1,99.95,0.9998,0.9991
pooled_5000,5000,8474,1,100,0.9999,1
pooled_all,17093,8519,1,100,1,1
