tag,input,engine,mast_input,ebayes,method,design,threads,run,warmup,cpu_load_before,contaminated,shared_machine,cpus,started,process,stage,elapsed_s,cpu_s,peak_rss_mb,rheap_mb,os_peak_wset_mb,os_peak_private_mb,baseline_rss_mb,delta_rss_mb,returncode,errors,info,sampler_errors,background_cpu_mean,background_cpu_max
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,2,False,6.2,False,True,0-15,1789398343.6292322,R,lrtest,161.06,160.02,3783.34765625,3750.9,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,2,False,6.2,False,True,0-15,1789398343.6292322,R,assemble,0.57,0.59,2228.25390625,1734.8,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,2,False,6.2,False,True,0-15,1789398343.6292322,R,write,0.04,0.04,1875.65234375,1347.0,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,2,False,6.2,False,True,0-15,1789398343.6292322,R,TOTAL_PROCESS,363.6937429904938,360.8125,4482.078125,,4468.3984375,4521.37109375,740.66796875,3741.41015625,0.0,,assay class after SingleCellAssay: matrix,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,2,False,6.2,False,True,0-15,1789398343.6292322,ALL,TOTAL_RUN,365.64806842803955,367.765625,4482.078125,,4468.3984375,4521.37109375,161.546875,3741.41015625,0.0,,,0.0,12.5,60.621875
real_cdr,ductal_all,duet,,,,cdr,1,3,False,8.4,False,True,0-15,1789398711.3137877,duet,read,0.06,0.062,546.0859375,,,,,,,,,,,
real_cdr,ductal_all,duet,,,,cdr,1,3,False,8.4,False,True,0-15,1789398711.3137877,duet,fit_test_write,24.753,24.516,745.63671875,,,,,,,,,,,
real_cdr,ductal_all,duet,,,,cdr,1,3,False,8.4,False,True,0-15,1789398711.3137877,duet,TOTAL_PROCESS,26.341208934783936,26.015625,745.63671875,,745.63671875,699.75390625,187.13671875,558.5,0.0,,,,,
real_cdr,ductal_all,duet,,,,cdr,1,3,False,8.4,False,True,0-15,1789398711.3137877,ALL,TOTAL_RUN,26.341208934783936,26.015625,745.63671875,,745.63671875,699.75390625,187.13671875,558.5,0.0,,,0.0,10.194230769230769,16.971875
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,export,read,0.058,0.047,448.16796875,,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,export,export,0.628,5.609,858.1015625,,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,export,TOTAL_PROCESS,1.9304535388946533,6.875,858.1015625,,858.10546875,816.81640625,161.62109375,696.48046875,0.0,,,,,
